,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20
24,,China,32.828384848484845,111.64908181818183,"548,17,28","643,18,30","920,26,36","1406,42,39","2075,56,49","2877,82,58","5509,131,101","6087,133,120","8141,171,135","9802,213,214","11891,259,275","16630,361,463","19716,425,614","23707,491,843","27440,563,1115","30587,633,1477","34110,718,1999","36814,805,2596","39829,905,3219","42354,1012,3918","44386,1112,4636","44759,1117,5082","59895,1369,6217","66358,1521,7977","68413,1663,9298","70513,1766,10755","72434,1864,12462","74211,2003,14206","74619,2116,15962","75077,2238,18014","75550,2238,18704","77001,2443,22699","77022,2445,23187","77241,2595,25015","77754,2665,27676","78166,2717,30084","78600,2746,32930","78928,2790,36329","79356,2837,39320","79932,2872,42162","80136,2914,44854","80261,2947,47450","80386,2983,50001","80537,3015,52292","80690,3044,53944","80770,3072,55539","80823,3100,57388","80860,3123,58804","80887,3139,60181","80921,3161,61644"
54,,Italy,43.0,12.0,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","3,0,0","20,1,0","62,2,1","155,3,2","229,7,1","322,10,1","453,12,3","655,17,45","888,21,46","1128,29,46","1694,34,83","2036,52,149","2502,79,160","3089,107,276","3858,148,414","4636,197,523","5883,233,589","7375,366,622","9172,463,724","10149,631,724","12462,827,1045"
50,,Iran,32.0,53.0,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","2,2,0","5,2,0","18,4,0","28,5,0","43,8,0","61,12,0","95,16,0","139,19,49","245,26,49","388,34,73","593,43,123","978,54,175","1501,66,291","2336,77,291","2922,92,552","3513,107,739","4747,124,913","5823,145,1669","6566,194,2134","7161,237,2394","8042,291,2731","9000,354,2959"
58,,"Korea, South",36.0,128.0,"1,0,0","1,0,0","2,0,0","2,0,0","3,0,0","4,0,0","4,0,0","4,0,0","4,0,0","11,0,0","12,0,0","15,0,0","15,0,0","16,0,0","19,0,0","23,0,0","24,0,1","24,0,1","25,0,3","27,0,3","28,0,3","28,0,7","28,0,7","28,0,7","28,0,9","29,0,9","30,0,10","31,0,12","31,0,12","104,1,16","204,2,16","433,2,16","602,6,18","833,8,18","977,10,22","1261,12,22","1766,13,22","2337,13,22","3150,16,27","3736,17,30","4335,28,30","5186,28,30","5621,35,41","6088,35,41","6593,42,135","7041,44,135","7314,50,118","7478,53,118","7513,54,247","7755,60,288"
109,,US,38.88347448559672,-94.14907777777768,"1,0,0","1,0,0","2,0,0","2,0,0","5,0,0","5,0,0","5,0,0","5,0,0","5,0,0","7,0,0","8,0,0","8,0,0","11,0,0","11,0,0","11,0,0","11,0,0","11,0,0","11,0,0","11,0,3","11,0,3","12,0,3","12,0,3","13,0,3","13,0,3","13,0,3","13,0,3","13,0,3","13,0,3","13,0,3","13,0,3","15,0,5","15,0,5","15,0,5","51,0,5","51,0,6","57,0,6","58,0,6","60,0,7","68,1,7","74,1,7","98,6,7","118,7,7","149,11,7","217,12,7","262,14,7","402,17,7","518,21,7","583,22,7","1665,56,15","2384,68,19"
39,,France,46.2,2.2,"0,0,0","0,0,0","2,0,0","3,0,0","3,0,0","3,0,0","4,0,0","5,0,0","5,0,0","5,0,0","6,0,0","6,0,0","6,0,0","6,0,0","6,0,0","6,0,0","6,0,0","11,0,0","11,0,0","11,0,0","11,0,0","11,0,2","11,0,2","11,0,2","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","12,1,4","14,1,11","18,2,11","38,2,11","57,2,11","100,2,12","130,2,12","191,3,12","204,4,12","288,4,12","380,6,12","656,9,12","952,11,12","1129,19,12","1212,19,12","1787,33,12","2284,48,12"
100,,Spain,40.0,-4.0,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","2,0,2","6,0,2","13,0,2","15,0,2","32,0,2","45,0,2","84,0,2","120,0,2","165,1,2","222,2,2","259,3,2","400,5,2","500,10,30","673,17,30","1073,28,32","1695,35,32","2277,54,183"
42,,Germany,51.0,9.0,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","4,0,0","4,0,0","4,0,0","5,0,0","8,0,0","10,0,0","12,0,0","12,0,0","12,0,0","12,0,0","13,0,0","13,0,0","14,0,0","14,0,0","16,0,0","16,0,0","16,0,1","16,0,1","16,0,1","16,0,1","16,0,1","16,0,12","16,0,12","16,0,12","16,0,14","16,0,14","16,0,14","16,0,14","17,0,14","27,0,15","46,0,16","48,0,16","79,0,16","130,0,16","159,0,16","196,0,16","262,0,16","482,0,16","670,0,17","799,0,18","1040,0,18","1176,2,18","1457,2,18","1908,3,25"
30,,Cruise Ship,35.4437,139.638,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","61,0,0","61,0,0","64,0,0","135,0,0","135,0,0","175,0,0","175,0,0","218,0,0","285,0,0","355,0,0","454,0,0","542,0,0","621,0,1","634,2,1","634,2,1","634,2,1","691,3,0","691,3,0","691,3,0","705,4,10","705,4,10","705,6,10","705,6,10","705,6,10","705,6,10","706,6,10","706,6,10","706,6,10","696,6,40","696,6,40","696,6,40","696,6,40","696,6,40","696,7,325"
103,,Switzerland,46.8182,8.2275,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","1,0,0","8,0,0","8,0,0","18,0,0","27,0,0","42,0,0","56,0,2","90,0,3","114,1,3","214,1,3","268,1,3","337,2,3","374,2,3","491,3,3","652,4,4"
56,,Japan,36.0,138.0,"2,0,0","1,0,0","2,0,0","2,0,0","4,0,1","4,0,1","7,0,1","7,0,1","11,0,1","15,0,1","20,0,1","20,0,1","20,0,1","22,0,1","22,0,1","45,0,1","25,0,1","25,0,1","26,0,1","26,0,4","26,0,9","28,0,9","28,1,9","29,1,9","43,1,12","59,1,12","66,1,12","74,1,13","84,1,18","94,1,18","105,1,22","122,1,22","147,1,22","159,1,22","170,1,22","189,2,22","214,4,22","228,4,22","241,5,32","256,6,32","274,6,32","293,6,43","331,6,43","360,6,43","420,6,46","461,6,76","502,6,76","511,10,76","581,10,101","639,15,118"
79,,Norway,60.472,8.4689,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","1,0,0","6,0,0","15,0,0","19,0,0","25,0,0","32,0,0","56,0,0","87,0,0","108,0,0","147,0,0","176,0,0","205,0,1","400,0,1","598,0,1"
75,,Netherlands,52.1326,5.2913,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","1,0,0","6,0,0","10,0,0","18,0,0","24,0,0","38,0,0","82,0,0","128,1,0","188,1,0","265,3,0","321,3,0","382,4,0","503,5,0"
102,,Sweden,63.0,16.0,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","1,0,0","2,0,0","7,0,0","7,0,0","12,0,0","14,0,0","15,0,0","21,0,0","35,0,0","94,0,0","101,0,0","161,0,0","203,0,0","248,0,1","355,0,1","500,1,1"
112,,United Kingdom,46.963733333333344,-3.718,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","2,0,0","3,0,0","3,0,0","3,0,0","8,0,0","8,0,0","9,0,1","9,0,1","9,0,1","9,0,1","9,0,8","9,0,8","9,0,8","9,0,8","9,0,8","9,0,8","9,0,8","9,0,8","13,0,8","13,0,8","13,0,8","15,0,8","20,0,8","23,0,8","36,0,8","40,0,8","51,0,8","86,0,8","116,1,8","164,2,8","207,2,18","274,3,18","322,4,18","384,6,19","459,8,19"
